trip_id,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,trip_distance,fare_amount,passenger_count,payment_type,flag_bad_time_order,flag_zero_distance,flag_negative_fare,flag_bad_passenger_count,is_flagged,flag_unknown_pu_zone,flag_unknown_do_zone
1,2024-03-11 23:15:00,2024-03-11 23:20:26,3,2,0.0,13.37,1.0,2,False,True,False,False,True,False,False
7,2024-03-29 07:34:00,2024-03-29 07:37:05,3,1,0.57,4.36,,1,False,False,False,True,True,False,False
20,2024-03-11 12:31:00,2024-03-11 12:47:17,4,6,2.89,11.82,,1,False,False,False,True,True,False,False
89,2024-03-12 09:58:00,2024-03-12 10:19:22,8,15,1.37,-5.0,1.0,1,False,False,True,False,True,False,False
118,2024-03-07 06:17:00,2024-03-07 06:47:37,18,4,2.48,9.01,0.0,1,False,False,False,True,True,False,False
126,2024-03-24 20:55:00,2024-03-24 21:05:38,7,3,1.79,7.75,,2,False,False,False,True,True,False,False
163,2024-03-31 18:31:00,2024-03-31 18:34:14,8,5,3.34,11.27,,2,False,False,False,True,True,False,False
200,2024-03-14 07:54:00,2024-03-14 08:17:22,20,16,4.38,-5.0,1.0,1,False,False,True,False,True,False,False
229,2024-03-01 12:58:00,2024-03-01 13:05:59,9,4,2.74,9.35,0.0,2,False,False,False,True,True,False,False
237,2024-03-31 16:39:00,2024-03-31 16:41:17,13,7,0.0,4.55,1.0,3,False,True,False,False,True,False,False
273,2024-03-30 06:36:00,2024-03-30 06:49:53,12,8,1.87,8.48,,1,False,False,False,True,True,False,False
402,2024-03-21 06:06:00,2024-03-21 06:25:59,14,3,3.22,10.41,,1,False,False,False,True,True,False,False
536,2024-03-11 16:38:33,2024-03-11 16:06:00,10,10,1.85,7.69,1.0,2,True,False,False,False,True,False,False
570,2024-03-12 11:32:00,2024-03-12 11:52:00,8,8,0.0,12.66,3.0,1,False,True,False,False,True,False,False
573,2024-03-27 00:37:00,2024-03-27 00:53:08,13,19,1.62,7.13,,1,False,False,False,True,True,False,False
625,2024-03-16 05:22:00,2024-03-16 05:38:46,3,12,1.73,-5.0,1.0,1,False,False,True,False,True,False,False
676,2024-03-07 02:31:00,2024-03-07 03:20:18,1,2,0.56,4.28,,1,False,False,False,True,True,False,False
