metric,segment,value
avg_trip_duration_min,Staten Island,36.1
avg_trip_duration_min,Queens,35.3
avg_trip_duration_min,Brooklyn,22.0
avg_trip_duration_min,Unknown,21.5
avg_trip_duration_min,Bronx,19.6
avg_trip_duration_min,Manhattan,14.6
avg_trip_duration_min,EWR,5.2
avg_speed_mph,Staten Island,25.5
avg_speed_mph,Unknown,23.6
avg_speed_mph,Queens,23.3
avg_speed_mph,EWR,22.3
avg_speed_mph,Bronx,20.1
avg_speed_mph,Brooklyn,13.9
avg_speed_mph,Manhattan,9.5
overall_avg_speed_mph,ALL,11.0
trip_volume,hour_0,64339.0
trip_volume,hour_1,40784.0
trip_volume,hour_2,25613.0
trip_volume,hour_3,16840.0
trip_volume,hour_4,12140.0
trip_volume,hour_5,15920.0
trip_volume,hour_6,32717.0
trip_volume,hour_7,61236.0
trip_volume,hour_8,88669.0
trip_volume,hour_9,104227.0
trip_volume,hour_10,114065.0
trip_volume,hour_11,124719.0
trip_volume,hour_12,134117.0
trip_volume,hour_13,143694.0
trip_volume,hour_14,153081.0
trip_volume,hour_15,154631.0
trip_volume,hour_16,162424.0
trip_volume,hour_17,174127.0
trip_volume,hour_18,175825.0
trip_volume,hour_19,157406.0
trip_volume,hour_20,140882.0
trip_volume,hour_21,143192.0
trip_volume,hour_22,126010.0
trip_volume,hour_23,94863.0
avg_fare_per_mile,rainy_day,14.89
avg_fare_per_mile,non_rainy_day,15.19
pct_records_flagged_invalid,ALL,30.3
