trip_id,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,trip_distance,fare_amount,passenger_count,payment_type,flag_bad_time_order,flag_zero_distance,flag_negative_fare,flag_bad_passenger_count,is_flagged,flag_unknown_pu_zone,flag_unknown_do_zone,trip_duration_min,pickup_hour,pickup_date,speed_mph,fare_per_mile,pickup_borough,pickup_zone,dropoff_borough,dropoff_zone,date,precipitation_mm,temp_avg_c,is_rainy_day
1,2024-03-11 23:15:00,2024-03-11 23:20:26,3,2,0.0,13.37,1.0,2,False,True,False,False,True,False,False,5.433333333333334,23,2024-03-11,0.0,,Manhattan,Chelsea,Manhattan,Harlem,2024-03-11,1.8,11.3,True
2,2024-03-02 16:33:00,2024-03-02 16:43:14,10,16,1.82,7.78,1.0,1,False,False,False,False,False,False,False,10.233333333333333,16,2024-03-02,10.671009771986972,4.274725274725275,Brooklyn,Bed-Stuy,Bronx,Fordham,2024-03-02,0.7,3.3,False
3,2024-03-14 06:38:00,2024-03-14 07:17:45,14,18,3.62,11.02,3.0,1,False,False,False,False,False,False,False,39.75,6,2024-03-14,5.464150943396227,3.044198895027624,Queens,Jamaica,Bronx,Mott Haven,2024-03-14,1.5,5.8,True
4,2024-03-17 14:17:00,2024-03-17 14:43:54,14,17,1.61,7.33,1.0,1,False,False,False,False,False,False,False,26.9,14,2024-03-17,3.5910780669144984,4.552795031055901,Queens,Jamaica,Bronx,Riverdale,2024-03-17,1.8,12.0,True
5,2024-03-03 17:43:00,2024-03-03 18:31:27,12,2,0.71,4.59,2.0,1,False,False,False,False,False,False,False,48.45,17,2024-03-03,0.8792569659442724,6.464788732394366,Queens,Flushing,Manhattan,Harlem,2024-03-03,1.4,7.4,True
6,2024-03-24 10:43:00,2024-03-24 10:54:15,13,9,1.08,6.27,1.0,1,False,False,False,False,False,False,False,11.25,10,2024-03-24,5.760000000000001,5.8055555555555545,Queens,Long Island City,Brooklyn,DUMBO,2024-03-24,1.1,11.3,True
7,2024-03-29 07:34:00,2024-03-29 07:37:05,3,1,0.57,4.36,,1,False,False,False,True,True,False,False,3.0833333333333335,7,2024-03-29,11.09189189189189,7.649122807017545,Manhattan,Chelsea,Manhattan,Midtown,2024-03-29,1.1,4.2,True
8,2024-03-03 11:21:00,2024-03-03 11:28:31,3,12,0.61,4.52,1.0,1,False,False,False,False,False,False,False,7.516666666666667,11,2024-03-03,4.869179600886918,7.40983606557377,Manhattan,Chelsea,Queens,Flushing,2024-03-03,1.4,7.4,True
9,2024-03-18 00:58:00,2024-03-18 01:29:44,14,7,3.4,12.93,1.0,1,False,False,False,False,False,False,False,31.733333333333334,0,2024-03-18,6.428571428571429,3.802941176470588,Queens,Jamaica,Brooklyn,Park Slope,2024-03-18,1.5,8.4,True
10,2024-03-01 03:26:00,2024-03-01 03:40:04,7,13,2.85,10.72,3.0,1,False,False,False,False,False,False,False,14.066666666666666,3,2024-03-01,12.156398104265405,3.76140350877193,Brooklyn,Park Slope,Queens,Long Island City,2024-03-01,0.0,4.2,False
11,2024-03-24 11:47:00,2024-03-24 11:58:47,6,12,7.62,24.52,1.0,1,False,False,False,False,False,False,False,11.783333333333333,11,2024-03-24,38.800565770862804,3.217847769028871,Brooklyn,Williamsburg,Queens,Flushing,2024-03-24,1.1,11.3,True
12,2024-03-30 19:41:00,2024-03-30 20:07:45,9,3,1.46,6.84,2.0,1,False,False,False,False,False,False,False,26.75,19,2024-03-30,3.2747663551401867,4.684931506849315,Brooklyn,DUMBO,Manhattan,Chelsea,2024-03-30,1.9,18.9,True
13,2024-03-16 05:59:00,2024-03-16 06:10:30,9,20,9.04,25.1,1.0,1,False,False,False,False,False,False,False,11.5,5,2024-03-16,47.16521739130434,2.776548672566372,Brooklyn,DUMBO,Staten Island,Tottenville,2024-03-16,0.5,14.7,False
14,2024-03-28 07:53:00,2024-03-28 08:06:17,17,2,2.63,9.53,1.0,1,False,False,False,False,False,False,False,13.283333333333333,7,2024-03-28,11.879548306148054,3.623574144486692,Bronx,Riverdale,Manhattan,Harlem,2024-03-28,1.2,7.8,True
15,2024-03-01 14:14:00,2024-03-01 14:16:44,4,11,2.29,9.16,4.0,1,False,False,False,False,False,False,False,2.7333333333333334,14,2024-03-01,50.26829268292683,4.0,Manhattan,SoHo,Queens,Astoria,2024-03-01,0.0,4.2,False
16,2024-03-09 19:28:00,2024-03-09 19:46:47,1,9,6.74,21.44,1.0,1,False,False,False,False,False,False,False,18.783333333333335,19,2024-03-09,21.52972493345164,3.1810089020771515,Manhattan,Midtown,Brooklyn,DUMBO,2024-03-09,4.2,4.7,True
17,2024-03-31 19:17:00,2024-03-31 19:20:53,20,7,1.9,8.52,2.0,1,False,False,False,False,False,False,False,3.8833333333333333,19,2024-03-31,29.356223175965663,4.484210526315789,Staten Island,Tottenville,Brooklyn,Park Slope,2024-03-31,0.3,10.0,False
18,2024-03-14 10:40:00,2024-03-14 11:07:19,10,3,6.17,21.1,1.0,1,False,False,False,False,False,False,False,27.316666666666666,10,2024-03-14,13.55216595485052,3.419773095623987,Brooklyn,Bed-Stuy,Manhattan,Chelsea,2024-03-14,1.5,5.8,True
