LocationID,Borough,Zone,service_zone
1,Manhattan,Midtown,Yellow Zone
2,Manhattan,Harlem,Yellow Zone
3,Manhattan,Chelsea,Yellow Zone
4,Manhattan,SoHo,Yellow Zone
5,Manhattan,Upper East Side,Yellow Zone
6,Brooklyn,Williamsburg,Boro Zone
7,Brooklyn,Park Slope,Boro Zone
8,Brooklyn,Bushwick,Boro Zone
9,Brooklyn,DUMBO,Boro Zone
10,Brooklyn,Bed-Stuy,Boro Zone
11,Queens,Astoria,Boro Zone
12,Queens,Flushing,Boro Zone
13,Queens,Long Island City,Boro Zone
14,Queens,Jamaica,Boro Zone
15,Queens,Forest Hills,Boro Zone
16,Bronx,Fordham,Boro Zone
17,Bronx,Riverdale,Boro Zone
18,Bronx,Mott Haven,Boro Zone
19,Staten Island,St. George,Boro Zone
20,Staten Island,Tottenville,Boro Zone
