trip_id,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,trip_distance,fare_amount,passenger_count,payment_type
1,2024-03-11 23:15:00,2024-03-11 23:20:26,3,2,0.0,13.37,1.0,2
2,2024-03-02 16:33:00,2024-03-02 16:43:14,10,16,1.82,7.78,1.0,1
3,2024-03-14 06:38:00,2024-03-14 07:17:45,14,18,3.62,11.02,3.0,1
4,2024-03-17 14:17:00,2024-03-17 14:43:54,14,17,1.61,7.33,1.0,1
5,2024-03-03 17:43:00,2024-03-03 18:31:27,12,2,0.71,4.59,2.0,1
6,2024-03-24 10:43:00,2024-03-24 10:54:15,13,9,1.08,6.27,1.0,1
7,2024-03-29 07:34:00,2024-03-29 07:37:05,3,1,0.57,4.36,,1
8,2024-03-03 11:21:00,2024-03-03 11:28:31,3,12,0.61,4.52,1.0,1
9,2024-03-18 00:58:00,2024-03-18 01:29:44,14,7,3.4,12.93,1.0,1
10,2024-03-01 03:26:00,2024-03-01 03:40:04,7,13,2.85,10.72,3.0,1
11,2024-03-24 11:47:00,2024-03-24 11:58:47,6,12,7.62,24.52,1.0,1
12,2024-03-30 19:41:00,2024-03-30 20:07:45,9,3,1.46,6.84,2.0,1
13,2024-03-16 05:59:00,2024-03-16 06:10:30,9,20,9.04,25.1,1.0,1
14,2024-03-28 07:53:00,2024-03-28 08:06:17,17,2,2.63,9.53,1.0,1
15,2024-03-01 14:14:00,2024-03-01 14:16:44,4,11,2.29,9.16,4.0,1
16,2024-03-09 19:28:00,2024-03-09 19:46:47,1,9,6.74,21.44,1.0,1
17,2024-03-31 19:17:00,2024-03-31 19:20:53,20,7,1.9,8.52,2.0,1
18,2024-03-14 10:40:00,2024-03-14 11:07:19,10,3,6.17,21.1,1.0,1
19,2024-03-22 13:45:00,2024-03-22 14:00:46,9,9,2.92,11.05,2.0,1
20,2024-03-11 12:31:00,2024-03-11 12:47:17,4,6,2.89,11.82,,1
21,2024-03-02 18:37:00,2024-03-02 18:43:13,4,1,0.99,6.15,1.0,1
22,2024-03-15 18:55:00,2024-03-15 19:20:50,19,14,6.24,20.27,1.0,1
23,2024-03-03 09:16:00,2024-03-03 09:44:15,1,5,2.61,10.41,1.0,1
24,2024-03-07 06:07:00,2024-03-07 06:12:40,9,5,3.79,14.81,1.0,2
25,2024-03-22 16:16:00,2024-03-22 16:57:05,10,3,1.15,6.08,1.0,1
26,2024-03-26 10:31:00,2024-03-26 10:40:04,8,1,0.93,5.32,1.0,1
27,2024-03-09 16:53:00,2024-03-09 17:30:37,7,4,5.01,18.36,3.0,2
28,2024-03-02 15:28:00,2024-03-02 15:37:01,19,17,1.68,6.73,1.0,1
29,2024-03-21 15:49:00,2024-03-21 16:02:33,6,13,5.2,19.47,1.0,1
30,2024-03-23 06:53:00,2024-03-23 07:02:48,17,19,6.59,20.9,1.0,1
31,2024-03-19 00:25:00,2024-03-19 00:51:50,16,8,1.37,6.23,1.0,2
32,2024-03-03 07:43:00,2024-03-03 08:26:45,19,5,1.35,6.03,1.0,1
33,2024-03-20 09:32:00,2024-03-20 10:22:17,7,4,3.69,11.48,1.0,1
34,2024-03-26 20:20:00,2024-03-26 20:45:55,1,5,7.29,21.78,1.0,1
35,2024-03-20 05:03:00,2024-03-20 05:39:13,18,3,2.27,10.13,1.0,1
36,2024-03-03 18:40:00,2024-03-03 18:55:43,13,12,3.7,13.55,1.0,1
37,2024-03-09 10:41:00,2024-03-09 11:13:27,2,19,0.58,4.5,1.0,1
38,2024-03-03 06:27:00,2024-03-03 06:59:04,4,10,3.92,13.25,4.0,1
39,2024-03-25 19:35:00,2024-03-25 19:47:57,5,12,2.62,10.81,1.0,1
40,2024-03-04 22:04:00,2024-03-04 22:20:24,13,19,1.57,7.23,1.0,1
41,2024-03-12 15:39:00,2024-03-12 15:43:11,15,16,1.9,8.48,1.0,1
42,2024-03-26 20:59:00,2024-03-26 21:28:35,10,7,5.85,20.48,1.0,3
43,2024-03-27 00:57:00,2024-03-27 01:23:12,12,17,2.08,7.87,2.0,1
44,2024-03-02 01:42:00,2024-03-02 02:08:24,6,19,1.75,7.11,1.0,1
45,2024-03-30 09:48:00,2024-03-30 09:52:06,19,7,1.44,6.97,1.0,1
46,2024-03-15 08:12:00,2024-03-15 08:24:39,1,3,1.49,6.46,1.0,1
47,2024-03-01 08:24:00,2024-03-01 08:38:26,13,15,4.36,16.8,1.0,2
48,2024-03-20 02:29:00,2024-03-20 02:39:48,17,14,2.33,8.31,1.0,1
